RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED,ER
86,50 Cent,celebrities,musicians,12.9,0.89%(3588),688.5k(615),1.4k(1836),<=2%
87,Starbucks Coffee,beverages,,12.6,3.19%(944),25.9M(22),1.3k(2054),>2%
88,Anastasia Beverly Hills,beauty,,12.3,1.05%(3325),7.7M(85),8.9k(67),<=2%
89,Luan Santana,celebrities,musicians,12.2,1.64%(2439),590.7k(671),2.7k(876),<=2%
90,Chloe Grace Moretz,celebrities,actors,12.2,4.10%(535),47.6k(2071),2.4k(1020),<=2%
91,adidas,fashion,sport,12.1,1.52%(2619),26.3M(18),1k(2496),<=2%
92,forever21,fashion,,12.1,1.68%(2388),3.9M(164),3.8k(496),<=2%
93,Gucci,fashion,luxury,12,0.55%(4073),34.2M(12),2.6k(899),<=2%
94,Louis Tomlinson,celebrities,musicians,11.8,11.42%(32),25.5M(23),148(5008),>2%
95,G-DRAGON,celebrities,fashion,11.8,4.45%(422),4.6M(146),1.9k(1366),>2%
96,DanialvesD2 My Twitter,celebrities,athletes,11.7,1.62%(2477),122.4k(1486),1.7k(1508),<=2%
97,Dolce & Gabbana,fashion,luxury,11.7,0.48%(4142),6.1M(105),3.9k(471),<=2%
98,Tyga / T-Raww,celebrities,musicians,11.6,1.31%(2922),1.2M(421),2.5k(948),<=2%
99,Paul Labile Pogba,celebrities,athletes,11.5,6.11%(170),77.6k(1745),396(4219),>2%
100,Barack Obama,celebrities,political,11.5,3.37%(826),2.5M(240),231(4753),>2%
